brand, product, price, shipping, hyperlink
MSI,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$409.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-ventus-gp-oc/p/N82E16814137477?Item=N82E16814137477
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING OC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$249.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166sgaming-oc-6gd/p/N82E16814932223?Item=N82E16814932223
EVGA,EVGA GeForce RTX 2080 SUPER KO GAMING Video Card| 08G-P4-2083-KR| 8GB GDDR6| Dual Fans,$709.99,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-2083-kr/p/N82E16814487498?Item=N82E16814487498
EVGA,EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card| 06G-P4-1061-KR| 6GB GDDR6| Single Fan,$229.99,$3.99 Shipping,https://www.newegg.com/evga-geforce-gtx-1660-super-06g-p4-1061-kr/p/N82E16814487484?Item=N82E16814487484
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$189.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1650-super-gtx-1650-super-gaming-x/p/N82E16814137484?Item=N82E16814137484
ZOTAC,ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| ZT-T20600H-10M,$329.99,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-2060-zt-t20600h-10m/p/N82E16814500478?Item=N82E16814500478
GIGABYTE,GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card| 2 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N206SWF2OC-8GD Video Card,$399.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd/p/N82E16814932174?Item=N82E16814932174
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$509.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-ventus-gp-oc/p/N82E16814137528?Item=N82E16814137528
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$269.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-gaming-x/p/N82E16814137476?Item=N82E16814137476
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,$1299.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorus-x-11gc/p/N82E16814932076?Item=N82E16814932076
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-EVO-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$359.99,$4.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-rog-strix-rtx2060-o6g-evo-gaming/p/N82E16814126425?Item=N82E16814126425
MSI,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 Ti VENTUS GP OC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1159.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-ventus-gp-oc/p/N82E16814137557?Item=N82E16814137557
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,$1499.99,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2487-kr/p/1FT-001K-003E4?Item=1FT-001K-003E4
ASUS,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$419.99,$8.35 Shipping,https://www.newegg.com/asus-geforce-rtx-2070-dual-rtx2070-o8g-evo-v2/p/N82E16814126424?Item=N82E16814126424
GIGABYTE,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060IXOC-6GD rev. 2.0 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ITX Video Card,$299.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060ixoc-6gd-rev-2-0/p/N82E16814932210?Item=N82E16814932210
ZOTAC,ZOTAC GeForce GTX 1060 Mini| ZT-P10610A-10L| 3GB GDDR5 Super Compact,$169.99,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10610a-10l/p/N82E16814500405?Item=N82E16814500405
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$239.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166sgaming-6gd/p/N82E16814932295?Item=N82E16814932295
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card,$289.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1660-ti-gv-n166toc-6gd/p/N82E16814932131?Item=N82E16814932131
EVGA,EVGA GeForce GTX 1650 SUPER SC ULTRA GAMING Video Card| 04G-P4-1357-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$189.99,$1.99 Shipping,https://www.newegg.com/evga-geforce-gtx-1650-super-04g-p4-1357-kr/p/N82E16814487482?Item=N82E16814487482
ASUS,ASUS Dual GeForce RTX 2080 SUPER DUAL-RTX2080S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$729.99,$6.99 Shipping,https://www.newegg.com/asus-rtx-2080-super-dual-rtx2080s-o8g-evo/p/N82E16814126354?Item=N82E16814126354
GIGABYTE,GIGABYTE GeForce GTX 1650 MINI ITX OC 4G Graphics Card| Mini ITX Form Factor| 4GB 128-Bit GDDR5| GV-N1650IXOC-4GD Video Card,$149.99,$1.99 Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1650-gv-n1650ixoc-4gd/p/N82E16814932151?Item=N82E16814932151
GIGABYTE,GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card| 3 x WINDFORCE Fans| 11GB 352-Bit GDDR6| GV-N208TGAMING OC-11GC Video Card,$1249.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932064?Item=N82E16814932064
EVGA,EVGA GeForce GTX 1660 SC ULTRA GAMING| 06G-P4-1067-KR| 6GB GDDR5| Dual Fan| Metal Backplate,$239.99,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1660-06g-p4-1067-kr/p/N82E16814487448?Item=N82E16814487448
NVIDIA,NVIDIA TITAN RTX DirectX 12 900-1G150-2500-000 SB 24GB 384-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$2499.99,Free Shipping,https://www.newegg.com/nvidia-titan-rtx-900-1g150-2500-000-sb/p/N82E16814132084?Item=N82E16814132084
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$157.69,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4gt-oc/p/N82E16814137055?Item=N82E16814137055
ASUS,ASUS GeForce GTX 1660 SUPER Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660S-O6G),$229.99,$6.99 Shipping,https://www.newegg.com/asus-geforce-gtx-1660-super-ph-gtx1660s-o6g/p/N82E16814126353?Item=N82E16814126353
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G Graphics Card| 170mm Compact Size| 6GB 192-Bit GDDR6| GV-N166SIXOC-6GD Video Card,$229.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166sixoc-6gd/p/N82E16814932234?Item=N82E16814932234
ZOTAC,ZOTAC GAMING GeForce RTX 2060 SUPER MINI 8GB GDDR6 256-bit 14 Gbps Gaming Graphics Card| IceStorm 2.0| Super Compact| ZT-T20610E-10M,$399.99,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-2060-super-zt-t20610e-10m/p/N82E16814500471?Item=N82E16814500471
MSI,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$439.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-super-rtx-2060-super-gaming-x/p/N82E16814137440?Item=N82E16814137440
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,COMING SOON,,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-wb-8gc/p/N82E16814932207?Item=N82E16814932207
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GL 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Low Profile Ready Video Card,$159.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1650-gv-n1656oc-4gl/p/N82E16814932298?Item=N82E16814932298
ASUS,ASUS ROG Strix GeForce GTX 1650 SUPER Advanced 4GB Edition GDDR6 HDMI 2.0 DP 1.4 Gaming Graphics Card (ROG-STRIX-GTX1650S-A4G-GAMING),$189.99,$3.99 Shipping,https://www.newegg.com/asus-geforce-gtx-1650-super-rog-strix-gtx1650s-a4g-gaming/p/N82E16814126363?Item=N82E16814126363
EVGA,EVGA GeForce GTX 1660 Ti XC GAMING| 06G-P4-1263-KR| 6GB GDDR6| HDB Fan,$289.99,$3.99 Shipping,https://www.newegg.com/evga-geforce-gtx-1660-ti-06g-p4-1263-kr/p/N82E16814487431?Item=N82E16814487431
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card| GV-N105TOC-4GL,$149.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1050-ti-gv-n105toc-4gl/p/N82E16814125952?Item=N82E16814125952
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,$159.99,$2.99 Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1050-ti-gv-n105td5-4gd/p/N82E16814125916?Item=N82E16814125916
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$587.94,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-ventus-6g-oc/p/N82E16814137380?Item=9SIA5758N89932
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,$157.99,$3.99 Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4gt-lp/p/N82E16814137081?Item=N82E16814137081
MSI,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 Ti GAMING TRIO 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1189.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-gaming-trio/p/N82E16814137405?Item=N82E16814137405
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,$159.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1050-ti-gv-n105toc-4gd/p/N82E16814125915?Item=N82E16814125915
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$158.27,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-gaming-x-4g/p/N82E16814137417?Item=N82E16814137417
